,Sr No,State,Population,Ratio,gen
0,34,Rajasthan,380581,876,M
1,10,Rajasthan,49577103,993,M
2,28,Rajasthan,1383727,938,M
3,15,Assam,31205576,958,M
4,3,Gujarat,104099452,918,M
5,31,Gujarat,1055450,818,M
6,17,Gujarat,25545198,991,M
7,33,Gujarat,585764,711,F
9,27,Gujarat,1458545,973,M
10,9,Gujarat,60439692,919,F
11,18,Maharashtra,25351462,879,F
12,22,Maharashtra,6864602,972,F
13,20,Jammu and Kashmir,12267032,890,F
14,14,Jammu and Kashmir,32988134,948,F
15,8,Jammu and Kashmir,61095297,979,F
16,13,Kerala,33406061,1084,F
17,36,Rajasthan,64473,946,F
18,5,Madhya Pradesh,72626809,931,F
19,2,Maharashtra,112374333,929,F
20,25,Jammu and Kashmir,2570390,992,F
21,24,Jammu and Kashmir,2966889,989,M
22,30,Kerala,1097206,976,M
23,26,Kerala,1978502,931,M
24,19,Maharashtra,16787941,868,M
25,11,Maharashtra,41974219,979,F
26,29,Rajasthan,1247953,1037,F
27,16,Maharashtra,27743338,895,M
28,7,Rajasthan,68548437,928,M
29,32,Maharashtra,610577,890,F
30,6,Gujarat,72147030,996,F
31,12,Maharashtra,35003674,988,M
32,23,Maharashtra,3673917,960,M
33,1,Gujarat,199812341,912,F
34,21,Maharashtra,10086292,963,F
35,4,Gujarat,91276115,953,M
36,35,Maharashtra,274000,853,M
